,Unnamed: 0.3,date,period,demand,wind
1107,1107,2016-02-14,4,512.7952930909092,59.4777343107926
1108,1108,2016-02-14,5,504.556608,55.34718432558599
1109,1109,2016-02-14,6,501.3945774545454,58.98600216969658
1110,1110,2016-02-14,7,494.4323083636364,59.31382359709393
1111,1111,2016-02-14,8,489.2251112727273,60.23172359380652
1112,1112,2016-02-14,9,481.3925585454546,43.40355698740919
1113,1113,2016-02-14,10,475.3440872727273,34.34475821032908
1114,1114,2016-02-14,11,473.8355956363637,36.22426772740722
1115,1115,2016-02-14,12,473.5309963636364,34.115283211150924
1116,1116,2016-02-14,13,485.4393774545455,39.52433676320721
1117,1117,2016-02-14,14,493.387968,38.27861533909728
1118,1118,2016-02-14,15,504.8612072727272,38.245833196357545
1119,1119,2016-02-14,16,506.7178123636364,35.197093921562185
1120,1120,2016-02-14,17,515.5947054545454,37.81966534074099
1121,1121,2016-02-14,18,538.5556887272728,51.81764029060786
1122,1122,2016-02-14,19,558.2676130909091,31.61291298201782
1123,1123,2016-02-14,20,566.7673832727274,34.923909398731055
1124,1124,2016-02-14,21,574.1067752727273,17.188770176534405
1125,1125,2016-02-14,22,575.3396770909092,24.848864196719155
1126,1126,2016-02-14,23,577.9070138181819,27.94131299516749
1127,1127,2016-02-14,24,581.2576058181819,37.535553436996615
1128,1128,2016-02-14,25,587.9587898181818,49.51196291791315
1129,1129,2016-02-14,26,590.2795461818182,45.10822840987542
1130,1130,2016-02-14,27,587.4946385454546,69.49814260823828
1131,1131,2016-02-14,28,583.8974661818181,96.54341036851967
1132,1132,2016-02-14,29,586.406784,117.19616029455275
1133,1133,2016-02-14,30,586.0441658181819,94.9152306124462
1134,1134,2016-02-14,31,591.7880378181819,59.60886288175155
1135,1135,2016-02-14,32,602.3909934545454,63.59735691508598
1136,1136,2016-02-14,33,621.7693090909092,61.75062954074758
1137,1137,2016-02-14,34,645.760128,70.65644498504226
1138,1138,2016-02-14,35,679.4546094545454,78.08706400604885
1139,1139,2016-02-14,36,713.9903650909091,78.69899733719058
1140,1140,2016-02-14,37,722.7367156363636,71.04983069791906
1141,1141,2016-02-14,38,716.2385978181818,92.4237877642263
